,country,itemId,paymentMethod,postalCode,sellingStatus,topRatedListing,AutoPay,AvailableForPickupDropOff,BestOfferEnabled,BidCount,BuyItNowPrice,FinalPrice,GlobalShipping,HandlingTime,HitCount,ListingStatus,ListingType,Location,MinimumToBid,ProductID,Quantity,QuantityThreshold,ReserveMet,ShipToLocations,Title,UserID,FeedbackScore,PositiveFeedbackPercent,SellerBusinessType,NewUser,FeedbackPrivate,nPhotos,nPaymentMethods,nShippingCountries,conditionId,bestOfferEnabled,buyItNowAvailable,expeditedShipping,shippingType,oneDayShippingAvailable,NegFeedback30Day,NegFeedback365Day,PosFeedback30Day,PosFeedback365Day,auctionLength
6171,0,181938739211,0,60532,0,False,False,0,True,0,0.0,209.99,True,2.0,234.0,Completed,1,"Lisle, Illinois",,168534287,1,0.0,,1,Apple iPhone 5s - 32GB - Space Gray (AT&T) Smartphone,consignmentauctioneers,183,100.0,1,False,False,6,1,49,5,True,False,True,1,False,0,0,2,8,3.0
6172,0,181938878610,0,60532,0,False,False,0,True,0,0.0,209.99,True,2.0,276.0,Completed,1,"Lisle, Illinois",,168534287,1,0.0,,1,Apple iPhone 5s - 32GB - Space Gray (AT&T) Smartphone,consignmentauctioneers,183,100.0,1,False,False,6,1,49,5,True,False,True,0,False,0,0,2,8,3.0
6173,0,221941163571,0,92627,0,False,False,0,False,9,0.0,200.5,True,3.0,212.0,Completed,0,"Costa Mesa, California",203.0,168465001,1,0.0,,1,Apple iPhone 5s - 32GB - Space Gray (Sprint) Smartphone,mcanann,35,100.0,1,False,False,7,1,9,5,False,False,True,1,False,0,0,0,2,168.0
6174,0,291621379135,0,30605,0,False,True,0,True,0,0.0,279.0,True,3.0,45.0,Completed,1,"Athens, Georgia",,168464971,1,0.0,,1,Apple iPhone 5s - 32GB - Space Gray (Verizon) Smartphone Good Condition,zeppelinfan00,1270,100.0,1,False,False,3,1,3,5,True,False,True,1,False,0,0,50,346,16.0
6175,0,291631694655,0,30605,0,False,True,0,True,0,0.0,279.0,True,3.0,44.0,Completed,1,"Athens, Georgia",,168464971,1,0.0,,1,Apple iPhone 5s - 32GB - Space Gray (Verizon) Smartphone Excellent Condition,zeppelinfan00,1270,100.0,1,False,False,3,1,3,5,True,False,True,1,False,0,0,50,346,0.0
6176,0,262144560032,0,85306,0,False,True,0,False,11,0.0,295.0,False,1.0,210.0,Completed,0,"Glendale, Arizona",300.0,168553510,1,0.0,,0,Apple iPhone 5s 32GB Silver White (AT&T) Smartphone A1533 Excellent,lelesdesigns,2133,100.0,1,False,False,4,1,1,5,False,False,True,1,False,0,0,1,8,168.0
6177,0,111824245189,0,90249,0,False,False,0,False,5,0.0,237.5,True,2.0,165.0,Completed,0,"Gardena, California",240.0,170084987,1,0.0,,1,Used Apple iPhone 5s-32GB-Gold (Verizon Or Tmobile) Smartphone,bartik69,130,94.6,1,False,False,2,1,9,5,False,False,True,1,False,1,3,1,55,168.0
6178,0,111836166635,0,90249,0,False,False,0,False,14,0.0,270.0,True,2.0,293.0,Completed,0,"Gardena, California",275.0,170084987,1,0.0,,1,Used Apple iPhone 5s-32GB-Gold (Verizon Or Tmobile) Smartphone,bartik69,130,94.6,1,False,False,2,1,9,5,False,False,True,1,False,1,3,1,55,72.0
6179,0,201467212070,0,94114,0,False,False,0,False,8,0.0,270.0,True,2.0,307.0,Completed,0,"San Francisco, California",275.0,168494364,1,0.0,,1,Apple iPhone 5s - 32GB - Space Gray Unlocked (AT&T) Smartphone,relentleslie,429,100.0,1,False,False,12,1,9,5,False,False,True,1,False,0,0,6,43,168.0
6180,0,301802908512,0,92692,1,False,False,0,False,0,0.0,179.0,False,3.0,21.0,Completed,0,"Mission Viejo, California",179.0,170054882,1,0.0,0.0,0,Apple iPhone 5s - 32GB - Gold (AT&T) Smartphone,fire-paramedic127,387,100.0,1,False,False,3,1,1,5,False,False,True,1,False,0,0,0,5,65.0
